                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58162,                0.49229,                0.87401,                0.97269,                0.98305,                0.99255,                0.85017,                0.60164,                0.45874,                0.91267,               0.000614,               0.000614,               0.000614
                     37,                 0.5821,                0.48966,                0.89136,                0.99144,                0.98164,                0.99327,                0.86045,                0.59012,                0.44599,                0.90862,              0.0005744,              0.0005744,              0.0005744
                     38,                0.57026,                 0.5145,                0.92037,                0.98985,                0.98305,                0.99351,                0.87921,                0.55482,                0.45023,                0.90029,              0.0005348,              0.0005348,              0.0005348
                     39,                0.58832,                0.52601,                0.90365,                0.99098,                0.97458,                0.99392,                0.86397,                0.55091,                0.43951,                0.89962,              0.0004952,              0.0004952,              0.0004952
                     40,                0.52904,                0.44901,                0.86767,                0.97419,                0.98305,                0.99383,                0.86594,                0.54448,                0.43896,                0.89492,              0.0004556,              0.0004556,              0.0004556
                     41,                0.51532,                0.45592,                0.87173,                0.95816,                0.99153,                0.99332,                0.86312,                0.54787,                0.43865,                0.89588,               0.000416,               0.000416,               0.000416
                     42,                0.54268,                0.42502,                0.85987,                0.96689,                0.98985,                0.99357,                 0.8638,                0.56346,                0.44652,                0.90093,              0.0003764,              0.0003764,              0.0003764
                     43,                0.48696,                0.45921,                0.86515,                0.96624,                0.99153,                0.99366,                0.86798,                0.54697,                0.45062,                0.89065,              0.0003368,              0.0003368,              0.0003368
                     44,                0.51022,                 0.4261,                0.84513,                0.97498,                0.99072,                0.99389,                0.86669,                0.54699,                0.43897,                0.88798,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.5034,                0.45194,                0.86292,                0.98305,                0.98283,                0.99391,                0.86826,                0.54521,                0.43139,                0.88595,              0.0002576,              0.0002576,              0.0002576
                     46,                0.44762,                0.39256,                0.82813,                0.98268,                0.98305,                0.99399,                0.86601,                0.54383,                0.42098,                0.88775,               0.000218,               0.000218,               0.000218
                     47,                0.49516,                0.41682,                0.86599,                0.98172,                0.98305,                0.99432,                0.87134,                0.53704,                0.41174,                0.88446,              0.0001784,              0.0001784,              0.0001784
                     48,                0.48358,                0.40135,                0.86799,                  0.983,                0.97981,                0.99425,                0.87646,                0.53242,                0.40708,                0.88267,              0.0001388,              0.0001388,              0.0001388
                     49,                0.48814,                0.44154,                0.83681,                      1,                0.97319,                0.99434,                0.87713,                0.53043,                0.40297,                0.88206,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.47461,                0.39025,                0.84551,                 0.9978,                0.97458,                0.99434,                0.88127,                0.52777,                 0.3973,                0.88131,               5.96e-05,               5.96e-05,               5.96e-05
