                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1161,                0.66257,                 1.2173,                0.92483,                0.91667,                 0.9743,                0.65775,                 1.1148,                0.63376,                 1.2146,              0.0016109,              0.0016109,              0.0016109
                     36,                 1.1258,                0.68268,                 1.2113,                 0.9581,                0.95289,                0.97454,                0.67093,                 1.1305,                0.60071,                 1.2519,              0.0016092,              0.0016092,              0.0016092
                     37,                 1.1352,                 0.6968,                 1.2299,                0.93987,                      1,                0.99132,                0.68963,                 1.1022,                0.54877,                 1.2262,              0.0016076,              0.0016076,              0.0016076
                     38,                 1.1092,                0.65561,                 1.2134,                0.97737,                      1,                0.99459,                0.65364,                 1.1996,                0.53845,                 1.2585,              0.0016059,              0.0016059,              0.0016059
                     39,                 1.1175,                0.65146,                 1.2212,                0.94044,                0.98697,                0.98893,                0.69944,                 1.0773,                0.54519,                 1.2026,              0.0016043,              0.0016043,              0.0016043
                     40,                 1.0996,                0.64714,                 1.2106,                 0.9269,                0.97917,                0.98432,                0.66118,                 1.1363,                 0.5747,                 1.2279,              0.0016026,              0.0016026,              0.0016026
                     41,                 1.1382,                0.67084,                 1.2317,                0.74995,                 0.7498,                0.75335,                 0.4718,                 1.3526,                   1.51,                 1.3232,               0.001601,               0.001601,               0.001601
                     42,                 1.0837,                0.62851,                  1.215,                0.96932,                0.95833,                0.98737,                0.70723,                 1.0679,                 0.5172,                 1.2225,              0.0015993,              0.0015993,              0.0015993
                     43,                 1.1092,                0.62385,                 1.1966,                0.97472,                      1,                0.99459,                0.72687,                 1.0372,                0.47989,                 1.1637,              0.0015977,              0.0015977,              0.0015977
                     44,                 1.1378,                0.63733,                 1.2228,                0.99812,                      1,                  0.995,                0.70001,                 1.1861,                0.52108,                 1.2368,               0.001596,               0.001596,               0.001596
                     45,                 1.1013,                0.63539,                  1.218,                0.99544,                      1,                  0.995,                0.70632,                 1.1148,                 0.4587,                 1.1933,              0.0015944,              0.0015944,              0.0015944
                     46,                 1.0862,                0.61107,                 1.1964,                0.99741,                0.97917,                0.99459,                0.67312,                 1.1328,                0.50352,                 1.2369,              0.0015927,              0.0015927,              0.0015927
                     47,                 1.0719,                 0.6192,                 1.2118,                0.95762,                0.94167,                0.98908,                0.68131,                 1.1832,                0.58235,                 1.2482,              0.0015911,              0.0015911,              0.0015911
                     48,                 1.1035,                0.63673,                 1.2168,                0.81779,                0.65464,                0.72465,                 0.4576,                 1.4176,                 1.7738,                 1.4757,              0.0015894,              0.0015894,              0.0015894
