                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67247,                 0.5458,                0.90776,                0.87014,                0.83898,                0.92684,                 0.7341,                 0.7809,                0.77639,                 1.0272,              0.0019307,              0.0019307,              0.0019307
                     37,                 0.6325,                0.51989,                0.92266,                0.92771,                0.76126,                0.90912,                0.74341,                0.72863,                 0.8158,                0.99464,              0.0019287,              0.0019287,              0.0019287
                     38,                0.65655,                 0.5386,                0.90934,                0.97361,                0.93784,                 0.9774,                0.80946,                0.69373,                0.53914,                0.96965,              0.0019267,              0.0019267,              0.0019267
                     39,                0.66718,                0.52371,                0.94286,                0.99091,                0.92386,                0.96033,                0.78793,                 0.6898,                0.52097,                 1.0067,              0.0019248,              0.0019248,              0.0019248
                     40,                0.66981,                0.53205,                0.94029,                0.98834,                0.94068,                0.95847,                0.79031,                0.69931,                0.54392,                0.99806,              0.0019228,              0.0019228,              0.0019228
                     41,                0.63046,                0.48259,                0.91462,                0.97593,                0.94915,                0.96644,                0.79253,                0.67075,                0.52559,                0.98834,              0.0019208,              0.0019208,              0.0019208
                     42,                0.65606,                0.75468,                0.92088,                0.98251,                0.95211,                 0.9883,                0.82887,                0.66369,                0.47707,                0.96442,              0.0019188,              0.0019188,              0.0019188
                     43,                   0.63,                0.51794,                0.91845,                      1,                0.95396,                0.98505,                0.83255,                0.66256,                0.54245,                 0.9478,              0.0019168,              0.0019168,              0.0019168
                     44,                0.63105,                0.50047,                0.91587,                0.98037,                0.94068,                0.98364,                0.81862,                0.67948,                 0.5125,                 0.9602,              0.0019149,              0.0019149,              0.0019149
                     45,                0.61042,                0.51337,                0.92567,                  0.981,                0.92373,                0.97755,                0.79338,                0.75707,                0.51908,                 1.0149,              0.0019129,              0.0019129,              0.0019129
                     46,                0.63228,                0.49084,                0.90247,                0.98226,                0.93855,                0.98387,                0.79886,                0.72705,                0.49878,                0.99753,              0.0019109,              0.0019109,              0.0019109
